Epoch,Loss,Accuracy
1,0.4344,0.8403
2,0.2105,0.9293
3,0.1787,0.9361
4,0.1584,0.9421
5,0.1213,0.9573
6,0.1045,0.9619
7,0.0977,0.9653
8,0.0689,0.9772
9,0.0666,0.9752
10,0.0964,0.9661
11,0.0755,0.9742
12,0.0476,0.9820
13,0.0346,0.9892
14,0.0384,0.9874
15,0.0303,0.9904
16,0.0290,0.9908
17,0.0239,0.9912
18,0.0196,0.9942
19,0.0198,0.9944
20,0.0167,0.9954
21,0.0129,0.9970
22,0.0136,0.9966
23,0.0121,0.9972
24,0.0107,0.9974
25,0.0093,0.9974
26,0.0082,0.9976
27,0.0088,0.9978
28,0.0115,0.9972
29,0.0070,0.9984
30,0.0110,0.9970
